PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments
78,H,9,Cucumber,Cucumis sativus,S_P78H09__78_H9,leaf,WI7416_F2:3_135
78,A,10,Cucumber,Cucumis sativus,S_P78A10__78_A10,leaf,WI7416_F2:3_012
78,B,10,Cucumber,Cucumis sativus,S_P78B10__78_B10,leaf,WI7416_F2:3_026
78,C,10,Cucumber,Cucumis sativus,S_P78C10__78_C10,leaf,WI7416_F2:3_042
78,D,10,Cucumber,Cucumis sativus,S_P78D10__78_D10,leaf,WI7416_F2:3_062
78,E,10,Cucumber,Cucumis sativus,S_P78E10__78_E10,leaf,WI7416_F2:3_088
78,F,10,Cucumber,Cucumis sativus,S_P78F10__78_F10,leaf,WI7416_F2:3_106
78,G,10,Cucumber,Cucumis sativus,S_P78G10__78_G10,leaf,WI7416_F2:3_119
78,H,10,Cucumber,Cucumis sativus,S_P78H10__78_H10,leaf,WI7416_F2:3_136
78,A,11,Cucumber,Cucumis sativus,S_P78A11__78_A11,leaf,WI7416_F2:3_013
78,B,11,Cucumber,Cucumis sativus,S_P78B11__78_B11,leaf,WI7416_F2:3_027
78,C,11,Cucumber,Cucumis sativus,S_P78C11__78_C11,leaf,WI7416_F2:3_043
78,D,11,Cucumber,Cucumis sativus,S_P78D11__78_D11,leaf,WI7416_F2:3_064
78,E,11,Cucumber,Cucumis sativus,S_P78E11__78_E11,leaf,WI7416_F2:3_089
78,F,11,Cucumber,Cucumis sativus,S_P78F11__78_F11,leaf,WI7416_F2:3_107
78,G,11,Cucumber,Cucumis sativus,S_P78G11__78_G11,leaf,WI7416_F2:3_121
78,H,11,Cucumber,Cucumis sativus,S_P78H11__78_H11,leaf,WI7416_F2:3_137
78,A,12,Cucumber,Cucumis sativus,S_P78A12__78_A12,leaf,WI7416_F2:3_014
78,B,12,Cucumber,Cucumis sativus,S_P78B12__78_B12,leaf,WI7416_F2:3_028
78,C,12,Cucumber,Cucumis sativus,S_P78C12__78_C12,leaf,WI7416_F2:3_044
78,D,12,Cucumber,Cucumis sativus,S_P78D12__78_D12,leaf,WI7416_F2:3_069
78,E,12,Cucumber,Cucumis sativus,S_P78E12__78_E12,leaf,WI7416_F2:3_090
78,F,12,Cucumber,Cucumis sativus,S_P78F12__78_F12,leaf,WI7416_F2:3_108
79,A,1,Cucumber,Cucumis sativus,S_P79A01__79_A1,leaf,WI7841_BC1F2_1
79,B,1,Cucumber,Cucumis sativus,S_P79B01__79_B1,leaf,WI7841_BC1F2_13
79,C,1,Cucumber,Cucumis sativus,S_P79C01__79_C1,leaf,WI7841_BC1F2_25
79,D,1,Cucumber,Cucumis sativus,S_P79D01__79_D1,leaf,WI7841_BC1F2_37
79,E,1,Cucumber,Cucumis sativus,S_P79E01__79_E1,leaf,WI7841_BC1F2_49
79,F,1,Cucumber,Cucumis sativus,S_P79F01__79_F1,leaf,WI7416_F2:3_144
79,G,1,Cucumber,Cucumis sativus,S_P79G01__79_G1,leaf,WI7416_F2:3_160
79,H,1,Cucumber,Cucumis sativus,S_P79H01__79_H1,leaf,WI7864_PMF2_011
79,A,2,Cucumber,Cucumis sativus,S_P79A02__79_A2,leaf,WI7841_BC1F2_2
79,B,2,Cucumber,Cucumis sativus,S_P79B02__79_B2,leaf,WI7841_BC1F2_14
79,C,2,Cucumber,Cucumis sativus,S_P79C02__79_C2,leaf,WI7841_BC1F2_26
79,D,2,Cucumber,Cucumis sativus,S_P79D02__79_D2,leaf,WI7841_BC1F2_38
79,E,2,Cucumber,Cucumis sativus,S_P79E2__79_E2,leaf,WI7841_BC1F2_50
79,F,2,Cucumber,Cucumis sativus,S_P79F02__79_F2,leaf,WI7416_F2:3_146
79,G,2,Cucumber,Cucumis sativus,S_P79G02__79_G2,leaf,WI7864_PMF2_001
79,H,2,Cucumber,Cucumis sativus,S_P79H02__79_H2,leaf,WI7864_PMF2_012
79,A,3,Cucumber,Cucumis sativus,S_P79A03__79_A3,leaf,WI7841_BC1F2_3
79,B,3,Cucumber,Cucumis sativus,S_P79B03__79_B3,leaf,WI7841_BC1F2_15
79,C,3,Cucumber,Cucumis sativus,S_P79C03__79_C3,leaf,WI7841_BC1F2_27
79,D,3,Cucumber,Cucumis sativus,S_P79D03__79_D3,leaf,WI7841_BC1F2_39
79,E,3,Cucumber,Cucumis sativus,S_P79E3__79_E3,leaf,WI7841_BC1F2_51
79,F,3,Cucumber,Cucumis sativus,S_P79F03__79_F3,leaf,WI7416_F2:3_147
79,G,3,Cucumber,Cucumis sativus,S_P79G03__79_G3,leaf,WI7864_PMF2_002
79,H,3,Cucumber,Cucumis sativus,S_P79H03__79_H3,leaf,WI7864_PMF2_013
79,A,4,Cucumber,Cucumis sativus,S_P79A04__79_A4,leaf,WI7841_BC1F2_4
79,B,4,Cucumber,Cucumis sativus,S_P79B04__79_B4,leaf,WI7841_BC1F2_16
79,C,4,Cucumber,Cucumis sativus,S_P79C04__79_C4,leaf,WI7841_BC1F2_28
79,D,4,Cucumber,Cucumis sativus,S_P79D04__79_D4,leaf,WI7841_BC1F2_40
79,E,4,Cucumber,Cucumis sativus,S_P79E4__79_E4,leaf,WI7841_BC1F2_52
79,F,4,Cucumber,Cucumis sativus,S_P79F04__79_F4,leaf,WI7416_F2:3_149
79,G,4,Cucumber,Cucumis sativus,S_P79G04__79_G4,leaf,WI7864_PMF2_003
79,H,4,Cucumber,Cucumis sativus,S_P79H04__79_H4,leaf,WI7864_PMF2_014
79,A,5,Cucumber,Cucumis sativus,S_P79A05__79_A5,leaf,WI7841_BC1F2_5
79,B,5,Cucumber,Cucumis sativus,S_P79B05__79_B5,leaf,WI7841_BC1F2_17
79,C,5,Cucumber,Cucumis sativus,S_P79C05__79_C5,leaf,WI7841_BC1F2_29
79,D,5,Cucumber,Cucumis sativus,S_P79D05__79_D5,leaf,WI7841_BC1F2_41
79,E,5,Cucumber,Cucumis sativus,S_P79E5__79_E5,leaf,WI7841_BC1F2_53
79,F,5,Cucumber,Cucumis sativus,S_P79F05__79_F5,leaf,WI7416_F2:3_152
79,G,5,Cucumber,Cucumis sativus,S_P79G05__79_G5,leaf,WI7864_PMF2_004
79,H,5,Cucumber,Cucumis sativus,S_P79H05__79_H5,leaf,WI7864_PMF2_015
79,A,6,Cucumber,Cucumis sativus,S_P79A06__79_A6,leaf,WI7841_BC1F2_6
79,B,6,Cucumber,Cucumis sativus,S_P79B06__79_B6,leaf,WI7841_BC1F2_18
79,C,6,Cucumber,Cucumis sativus,S_P79C06__79_C6,leaf,WI7841_BC1F2_30
79,D,6,Cucumber,Cucumis sativus,S_P79D06__79_D6,leaf,WI7841_BC1F2_42
79,E,6,Cucumber,Cucumis sativus,S_P79E6__79_E6,leaf,WI7841_BC1F2_54
79,F,6,Cucumber,Cucumis sativus,S_P79F06__79_F6,leaf,WI7416_F2:3_153
79,G,6,Cucumber,Cucumis sativus,S_P79G06__79_G6,leaf,WI7864_PMF2_005
79,H,6,Cucumber,Cucumis sativus,S_P79H06__79_H6,leaf,WI7864_PMF2_016
79,A,7,Cucumber,Cucumis sativus,S_P79A07__79_A7,leaf,WI7841_BC1F2_7
79,B,7,Cucumber,Cucumis sativus,S_P79B07__79_B7,leaf,WI7841_BC1F2_19
79,C,7,Cucumber,Cucumis sativus,S_P79C07__79_C7,leaf,WI7841_BC1F2_31
79,D,7,Cucumber,Cucumis sativus,S_P79D07__79_D7,leaf,WI7841_BC1F2_43
79,E,7,Cucumber,Cucumis sativus,S_P79E7__79_E7,leaf,WI7841_BC1F2_55
79,F,7,Cucumber,Cucumis sativus,S_P79F07__79_F7,leaf,WI7416_F2:3_154
79,G,7,Cucumber,Cucumis sativus,S_P79G07__79_G7,leaf,WI7864_PMF2_006
79,H,7,Cucumber,Cucumis sativus,S_P79H07__79_H7,leaf,WI7864_PMF2_017
79,A,8,Cucumber,Cucumis sativus,S_P79A08__79_A8,leaf,WI7841_BC1F2_8
79,B,8,Cucumber,Cucumis sativus,S_P79B08__79_B8,leaf,WI7841_BC1F2_20
79,C,8,Cucumber,Cucumis sativus,S_P79C08__79_C8,leaf,WI7841_BC1F2_32
79,D,8,Cucumber,Cucumis sativus,S_P79D08__79_D8,leaf,WI7841_BC1F2_44
79,E,8,Cucumber,Cucumis sativus,S_P79E8__79_E8,leaf,WI7841_BC1F2_56
79,F,8,Cucumber,Cucumis sativus,S_P79F08__79_F8,leaf,WI7416_F2:3_155
79,G,8,Cucumber,Cucumis sativus,S_P79G08__79_G8,leaf,WI7864_PMF2_007
79,H,8,Cucumber,Cucumis sativus,S_P79H08__79_H8,leaf,WI7864_PMF2_018
79,A,9,Cucumber,Cucumis sativus,S_P79A09__79_A9,leaf,WI7841_BC1F2_9
79,B,9,Cucumber,Cucumis sativus,S_P79B09__79_B9,leaf,WI7841_BC1F2_21
79,C,9,Cucumber,Cucumis sativus,S_P79C09__79_C9,leaf,WI7841_BC1F2_33
79,D,9,Cucumber,Cucumis sativus,S_P79D09__79_D9,leaf,WI7841_BC1F2_45
79,E,9,Cucumber,Cucumis sativus,S_P79E9__79_E9,leaf,WI7416_F2:3_139
79,F,9,Cucumber,Cucumis sativus,S_P79F09__79_F9,leaf,WI7416_F2:3_156
79,G,9,Cucumber,Cucumis sativus,S_P79G09__79_G9,leaf,WI7864_PMF2_008
79,H,9,Cucumber,Cucumis sativus,S_P79H09__79_H9,leaf,WI7864_PMF2_019
79,A,10,Cucumber,Cucumis sativus,S_P79A10__79_A10,leaf,WI7841_BC1F2_10
79,B,10,Cucumber,Cucumis sativus,S_P79B10__79_B10,leaf,WI7841_BC1F2_22
79,C,10,Cucumber,Cucumis sativus,S_P79C10__79_C10,leaf,WI7841_BC1F2_34
79,D,10,Cucumber,Cucumis sativus,S_P79D10__79_D10,leaf,WI7841_BC1F2_46
79,E,10,Cucumber,Cucumis sativus,S_P79E10__79_E10,leaf,WI7416_F2:3_140
79,F,10,Cucumber,Cucumis sativus,S_P79F10__79_F10,leaf,WI7416_F2:3_157
79,G,10,Cucumber,Cucumis sativus,S_P79G10__79_G10,leaf,WI7864_PMF2_009
79,H,10,Cucumber,Cucumis sativus,S_P79H10__79_H10,leaf,WI7864_PMF2_020
79,A,11,Cucumber,Cucumis sativus,S_P79A11__79_A11,leaf,WI7841_BC1F2_11
79,B,11,Cucumber,Cucumis sativus,S_P79B11__79_B11,leaf,WI7841_BC1F2_23
79,C,11,Cucumber,Cucumis sativus,S_P79C11__79_C11,leaf,WI7841_BC1F2_35
79,D,11,Cucumber,Cucumis sativus,S_P79D11__79_D11,leaf,WI7841_BC1F2_47
79,E,11,Cucumber,Cucumis sativus,S_P79E11__79_E11,leaf,WI7416_F2:3_141
79,F,11,Cucumber,Cucumis sativus,S_P79F11__79_F11,leaf,WI7416_F2:3_158
79,G,11,Cucumber,Cucumis sativus,S_P79G11__79_G11,leaf,WI7864_PMF2_010
79,H,11,Cucumber,Cucumis sativus,S_P79H11__79_H11,leaf,WI7864_PMF2_021
79,A,12,Cucumber,Cucumis sativus,S_P79A12__79_A12,leaf,WI7841_BC1F2_12
79,B,12,Cucumber,Cucumis sativus,S_P79B12__79_B12,leaf,WI7841_BC1F2_24
79,C,12,Cucumber,Cucumis sativus,S_P79C12__79_C12,leaf,WI7841_BC1F2_36
79,D,12,Cucumber,Cucumis sativus,S_P79D12__79_D12,leaf,WI7841_BC1F2_48
79,E,12,Cucumber,Cucumis sativus,S_P79E12__79_E12,leaf,WI7416_F2:3_142
79,F,12,Cucumber,Cucumis sativus,S_P79F12__79_F12,leaf,WI7416_F2:3_159
